taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
2891770,Impatiens glandulifera Royle,SPECIES,ACCEPTED,Plantae,2891770: Impatiens glandulifera Royle | 2891771: Impatiens roylei Walp. | 4192870: Impatiens glanduligera Lindl. | 8018161: Impatiens glandulifera f. albida (Hegi) B.Boivin
2891774,Impatiens capensis Meerb.,SPECIES,ACCEPTED,Plantae,2891774: Impatiens capensis Meerb.
2891782,Impatiens parviflora DC.,SPECIES,ACCEPTED,Plantae,2891782: Impatiens parviflora DC. | 7309672: Impatiens parviflora subsp. parviflora
2891783,Impatiens balfourii Hook.fil.,SPECIES,ACCEPTED,Plantae,2891783: Impatiens balfourii Hook.fil. | 4193998: Impatiens mathildae Chiov.
2928835,Lycium barbarum L.,SPECIES,ACCEPTED,Plantae,2928835: Lycium barbarum L. | 2928836: Lycium halimifolium Mill. | 3798323: Lycium barbatum Thunb. | 2928837: Lycium vulgare Dunal
2992543,Rubus laciniatus Willd.,SPECIES,ACCEPTED,Plantae,2992543: Rubus laciniatus Willd. | 9365081: Rubus nemoralis f. laciniatus A.Beek | 2992546: Rubus laciniatus subsp. laciniatus
2993761,Rubus spectabilis Pursh,SPECIES,ACCEPTED,Plantae,2993761: Rubus spectabilis Pursh
3003244,Rosa multiflora Thunb.,SPECIES,ACCEPTED,Plantae,3003244: Rosa multiflora Thunb. | 8552347: Rosa hollandica hort.
3003709,Rosa glauca Pourr.,SPECIES,ACCEPTED,Plantae,3003709: Rosa glauca Pourr. | 8684350: Rosa ferruginea Vill. | 3004226: Rosa livida Host | 3004227: Rosa rubrifolia Vill. | 10996718: Rosa caesia subsp. glauca (Nyman) G.G.Graham & Primavesi
3024109,Amelanchier ×lamarckii F.G.Schroed.,SPECIES,ACCEPTED,Plantae,3024109: Amelanchier ×lamarckii F.G.Schroed.
3033965,Akebia quinata (Houtt.) Decne.,SPECIES,ACCEPTED,Plantae,3033965: Akebia quinata (Houtt.) Decne. | 8376014: Akebia quinata (Houtt.) Dcne.
3039269,Elaeagnus angustifolia L.,SPECIES,ACCEPTED,Plantae,3039269: Elaeagnus angustifolia L. | 7350313: Elaeagnus angustifolia var. caspica Sosn. | 6708897: Elaeagnus angustifolia var. orientalis (L.) Kuntze | 3039268: Elaeagnus orientalis L. | 4048211: Elaeagnus hortensis M.Bieb.
3082244,Cornus sericea L.,SPECIES,ACCEPTED,Plantae,3082244: Cornus sericea L. | 3663557: Swida sericea (L.) Holub | 6427558: Swida stolonifera (Michx.) Rydb. | 3663343: Cornus alba subsp. stolonifera (Michx.) Wangerin | 7221327: Cornus sericea subsp. sericea | 6427418: Cornus stolonifera Michx. | 3663108: Cornus baileyi J.M.Coult. & W.H.Evans
3084015,Phytolacca americana L.,SPECIES,ACCEPTED,Plantae,3084015: Phytolacca americana L. | 7219448: Phytolacca americana var. americana | 4192629: Phytolacca decandra L.
