taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
1003567,"Pectinatella magnifica (Leidy, 1851)",SPECIES,ACCEPTED,Animalia,"1003567: Pectinatella magnifica (Leidy, 1851)"
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",SPECIES,ACCEPTED,Animalia,"1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000"
1014565,"Amphitomeus attemsi (Schubart, 1934)",SPECIES,ACCEPTED,Animalia,"1014565: Amphitomeus attemsi (Schubart, 1934)"
1016841,"Orthomorpha coarctata (Saussure, 1860)",SPECIES,ACCEPTED,Animalia,"1016841: Orthomorpha coarctata (Saussure, 1860)"
1017419,"Oxidus gracilis (C.L.Koch, 1847)",SPECIES,ACCEPTED,Animalia,"1017419: Oxidus gracilis (C.L.Koch, 1847)"
1031394,"Ectopsocus petersi Smithers, 1978",SPECIES,ACCEPTED,Animalia,"1031394: Ectopsocus petersi Smithers, 1978"
1031400,"Ectopsocus briggsi McLachlan, 1899",SPECIES,ACCEPTED,Animalia,"1031400: Ectopsocus briggsi McLachlan, 1899"
1031684,"Lepinotus patruelis Pearman, 1931",SPECIES,ACCEPTED,Animalia,"1031684: Lepinotus patruelis Pearman, 1931"
1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",SPECIES,ACCEPTED,Animalia,"1031737: Psyllipsocus ramburii Selys-Longchamps, 1872"
1031742,"Dorypteryx domestica (Smithers, 1958)",SPECIES,ACCEPTED,Animalia,"1031742: Dorypteryx domestica (Smithers, 1958)"
1043717,"Cryptolaemus montrouzieri Mulsant, 1853",SPECIES,ACCEPTED,Animalia,"1043717: Cryptolaemus montrouzieri Mulsant, 1853"
1045323,"Pycnomerus sulcicollis LeConte, 1863",SPECIES,ACCEPTED,Animalia,"1045323: Pycnomerus sulcicollis LeConte, 1863"
1047536,"Leptinotarsa decemlineata (Say, 1824)",SPECIES,ACCEPTED,Animalia,"1047536: Leptinotarsa decemlineata (Say, 1824)"
1095946,"Reesa vespulae (Milliron, 1939)",SPECIES,ACCEPTED,Animalia,"1095946: Reesa vespulae (Milliron, 1939)"
1111797,"Chlorophorus annularis (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1111797: Chlorophorus annularis (Fabricius, 1787)"
1119292,"Morimus asper (Sulzer, 1776)",SPECIES,ACCEPTED,Animalia,"1119292: Morimus asper (Sulzer, 1776) | 4459448: Morimus asper funereus Mulsant, 1862"
1133603,"Batocera lineolata Chevrolat, 1852",SPECIES,ACCEPTED,Animalia,"1133603: Batocera lineolata Chevrolat, 1852"
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",SPECIES,ACCEPTED,Animalia,"1152188: Callidiellum rufipenne N.Ohbayashi, Kimura & Satô, 1994"
1247584,"Stenopelmus rufinasus Gyllenhal, 1835",SPECIES,ACCEPTED,Animalia,"1247584: Stenopelmus rufinasus Gyllenhal, 1835"
1276876,"Ctenochares bicolorus (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1276876: Ctenochares bicolorus (Linnaeus, 1767)"
1309600,"Andricus kollari (Hartig, 1843)",SPECIES,ACCEPTED,Animalia,"1309600: Andricus kollari (Hartig, 1843)"
1309606,"Andricus grossulariae Giraud, 1859",SPECIES,ACCEPTED,Animalia,"1309606: Andricus grossulariae Giraud, 1859"
1309635,"Aphelonyx cerricola (Giraud, 1859)",SPECIES,DOUBTFUL,Animalia,"1309635: Aphelonyx cerricola (Giraud, 1859)"
